date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-06-25,3837.43,3838.06,3801.31,3755.01,124075912.0,-39.96,-1.04,3804.196,3737.479,3685.211,134452694.4,113325998.4,106289052.8
2019-06-24,3836.31,3853.55,3841.27,3819.77,100084624.0,7.33,0.19,3777.458,3729.276,3677.006,123775964.8,115266688.8,105526800.8
2019-06-21,3832.73,3856.09,3833.94,3817.31,153635152.0,5.42,0.14,3740.168,3706.223,3664.638,118354374.4,114495732.8,104569272.0
2019-06-20,3718.94,3845.79,3828.52,3717.19,168872064.0,112.58,3.03,3704.356,3679.297,3652.139,107990745.6,107685657.6,101882403.6
2019-06-19,3761.34,3771.35,3715.94,3715.13,125595720.0,48.32,1.32,3675.73,3656.156,3643.182,93482675.2,99662652.8,98356106.8
2019-06-18,3661.13,3675.65,3667.62,3638.78,70692264.0,12.8,0.35,3670.762,3644.409,3640.724,92199302.4,95812790.4,97627466.8
2019-06-17,3654.44,3683.77,3654.82,3645.5,72976672.0,-0.06,-0.0,3681.094,3640.848,3638.232,106757412.8,98815881.6,99541027.6
2019-06-14,3690.48,3709.65,3654.88,3650.91,101817008.0,-30.51,-0.83,3672.278,3638.345,3637.929,110637091.2,100440440.8,102314856.0
2019-06-13,3689.58,3697.59,3685.39,3654.27,96331712.0,-5.71,-0.15,3654.238,3636.975,3642.383,107380569.6,99678996.0,103036919.2
2019-06-12,3706.86,3711.88,3691.1,3683.94,119178856.0,-28.18,-0.76,3636.582,3634.827,3644.468,105842630.4,99381368.8,103728422.0
2019-06-11,3617.52,3723.14,3719.28,3617.52,143482816.0,108.54,3.01,3618.056,3632.943,3642.171,99426278.4,99252107.2,102885152.4
2019-06-10,3578.01,3623.73,3610.74,3568.28,92375064.0,46.06,1.29,3600.602,3624.735,3639.643,90874350.4,95786912.8,100880604.4
2019-06-06,3601.04,3601.04,3564.68,3557.02,85534400.0,-32.43,-0.9,3604.412,3623.052,3645.629,90243790.4,94642811.2,103662044.0
